Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
SPDL,58.71,586.00,597.00,575.00,575.20,586.39,"51,493.00",586.00,"30,194,771.40",416,-10.80,22.00,-1.84,3.83,-1.94,421.25,361.43,823.90,128.00,09_01_2021
SPDL,67.08,540.00,554.00,530.00,535.00,540.00,"54,967.00",530.00,"29,682,114.30",313,5.00,24.00,0.94,4.53,-0.93,489.70,418.75,823.90,195.00,11_03_2021
SPDL,61.99,540.00,554.00,530.00,535.00,540.00,"54,967.00",530.00,"29,682,114.30",313,5.00,24.00,0.94,4.53,-0.93,489.70,418.75,823.90,195.00,11_05_2021
SPDL,61.99,540.00,554.00,530.00,535.00,540.00,"54,967.00",530.00,"29,682,114.30",313,5.00,24.00,0.94,4.53,-0.93,489.70,418.75,823.90,195.00,11_06_2021
SPDL,61.99,540.00,554.00,530.00,535.00,540.00,"54,967.00",530.00,"29,682,114.30",313,5.00,24.00,0.94,4.53,-0.93,489.70,418.75,823.90,195.00,11_07_2021
SPDL,62.77,526.00,550.00,518.10,522.00,533.87,"52,567.00",535.00,"28,063,849.60",379,-13.00,31.90,-2.43,6.16,-2.27,491.48,420.11,823.90,195.00,11_08_2021
SPDL,56.86,512.10,522.00,485.00,495.00,501.44,"102,046.00",522.00,"51,170,409.10",651,-27.00,37.00,-5.17,7.63,-1.30,493.00,421.16,823.90,195.00,11_09_2021
SPDL,55.29,512.10,522.00,485.00,495.00,501.44,"102,046.00",522.00,"51,170,409.10",651,-27.00,37.00,-5.17,7.63,-1.30,493.00,421.16,823.90,195.00,11_10_2021
SPDL,53.24,504.90,504.90,457.70,465.00,473.17,"85,823.00",495.00,"40,608,880.30",646,-30.00,47.20,-6.06,10.31,-1.76,494.16,422.10,823.90,195.00,11_11_2021
SPDL,51.48,504.90,504.90,457.70,465.00,473.17,"85,823.00",495.00,"40,608,880.30",646,-30.00,47.20,-6.06,10.31,-1.76,494.16,422.10,823.90,195.00,11_12_2021
SPDL,51.48,504.90,504.90,457.70,465.00,473.17,"85,823.00",495.00,"40,608,880.30",646,-30.00,47.20,-6.06,10.31,-1.76,494.16,422.10,823.90,195.00,11_13_2021
SPDL,49.43,457.10,487.50,456.00,465.50,469.79,"65,446.00",465.00,"30,745,573.40",413,0.50,31.50,0.11,6.91,-0.92,495.23,423.06,823.90,195.00,11_14_2021
SPDL,48.72,474.80,493.00,467.00,484.90,482.78,"77,463.00",465.50,"37,397,908.40",358,19.40,26.00,4.17,5.57,0.44,496.44,424.16,823.90,195.00,11_15_2021
SPDL,50.18,494.50,515.00,485.00,512.00,501.91,"122,674.00",484.90,"61,571,662.00",614,27.10,30.00,5.59,6.19,1.97,497.84,425.44,823.90,195.00,11_16_2021
SPDL,58.55,501.80,526.00,501.80,515.00,517.76,"102,927.00",512.00,"53,291,233.80",530,3.00,24.20,0.59,4.82,-0.54,499.30,426.79,823.90,195.00,11_17_2021
SPDL,61.79,509.00,519.00,493.00,497.20,500.96,"79,705.00",515.00,"39,929,389.40",518,-17.80,26.00,-3.46,5.27,-0.76,500.48,427.92,823.90,195.00,11_18_2021
SPDL,57.51,509.00,519.00,493.00,497.20,500.96,"79,705.00",515.00,"39,929,389.40",518,-17.80,26.00,-3.46,5.27,-0.76,500.48,427.92,823.90,195.00,11_19_2021
SPDL,57.51,509.00,519.00,493.00,497.20,500.96,"79,705.00",515.00,"39,929,389.40",518,-17.80,26.00,-3.46,5.27,-0.76,500.48,427.92,823.90,195.00,11_20_2021
SPDL,52.81,487.30,508.90,487.30,496.00,497.92,"43,218.00",497.20,"21,519,013.40",328,-1.20,21.60,-0.24,4.43,-0.39,501.35,429.10,823.90,195.00,11_21_2021
SPDL,48.71,505.00,512.00,492.20,498.00,502.08,"50,364.00",496.00,"25,286,669.60",271,2.00,19.80,0.40,4.02,-0.82,502.29,430.28,823.90,195.00,11_22_2021
SPDL,47.45,490.00,499.00,476.00,482.00,483.87,"48,893.00",498.00,"23,657,901.40",373,-16.00,23.00,-3.21,4.83,-0.39,503.17,431.40,823.90,195.00,11_23_2021
SPDL,44.67,474.00,498.70,468.00,489.00,480.27,"64,171.00",482.00,"30,819,621.00",400,7.00,30.70,1.45,6.56,1.78,503.79,432.53,823.90,195.00,11_24_2021
SPDL,50.35,479.30,507.00,478.30,481.00,484.46,"27,267.00",489.00,"13,209,643.10",212,-8.00,28.70,-1.64,6.00,-0.72,504.41,433.66,823.90,195.00,11_25_2021
SPDL,43.81,479.30,507.00,478.30,481.00,484.46,"27,267.00",489.00,"13,209,643.10",212,-8.00,28.70,-1.64,6.00,-0.72,504.41,433.66,823.90,195.00,11_26_2021
SPDL,43.81,479.30,507.00,478.30,481.00,484.46,"27,267.00",489.00,"13,209,643.10",212,-8.00,28.70,-1.64,6.00,-0.72,504.41,433.66,823.90,195.00,11_27_2021
SPDL,40.91,472.00,480.00,453.40,455.00,462.25,"73,355.00",481.00,"33,908,356.90",518,-26.00,26.60,-5.41,5.87,-1.59,504.68,434.65,823.90,195.00,11_28_2021
SPDL,37.12,445.90,472.00,444.00,453.90,457.29,"55,811.00",455.00,"25,521,715.30",322,-1.10,28.00,-0.24,6.31,-0.75,504.72,435.63,823.90,195.00,11_29_2021
SPDL,35.03,462.90,472.00,446.00,462.00,455.28,"39,028.00",453.90,"17,768,488.10",274,8.10,26.00,1.78,5.83,1.46,504.98,436.71,823.90,195.00,11_30_2021
SPDL,32.64,470.90,479.00,461.00,466.00,469.23,"39,522.00",462.00,"18,545,003.70",237,4.00,18.00,0.87,3.90,-0.69,505.48,437.86,823.90,195.00,12_01_2021
SPDL,41.87,460.00,472.00,439.30,444.00,446.82,"48,756.00",466.00,"21,785,030.70",354,-22.00,32.70,-4.72,7.44,-0.63,505.78,438.86,823.90,195.00,12_02_2021
SPDL,42.88,460.00,472.00,439.30,444.00,446.82,"48,756.00",466.00,"21,785,030.70",354,-22.00,32.70,-4.72,7.44,-0.63,505.78,438.86,823.90,195.00,12_03_2021
SPDL,42.88,460.00,472.00,439.30,444.00,446.82,"48,756.00",466.00,"21,785,030.70",354,-22.00,32.70,-4.72,7.44,-0.63,505.78,438.86,823.90,195.00,12_04_2021
SPDL,41.98,446.00,446.00,421.00,424.00,429.81,"62,454.00",444.00,"26,843,565.10",385,-20.00,25.00,-4.50,5.94,-1.37,505.74,439.85,823.90,195.00,12_05_2021
SPDL,38.78,420.00,454.00,402.00,445.00,425.53,"89,251.00",424.00,"37,979,251.10",486,21.00,52.00,4.95,12.94,4.37,506.00,440.90,823.90,195.00,12_06_2021
SPDL,43.54,453.90,459.00,414.00,417.00,439.65,"49,740.00",445.00,"21,868,348.00",324,-28.00,45.00,-6.29,10.87,-5.43,506.10,441.71,823.90,195.00,12_07_2021
SPDL,34.64,425.00,430.00,399.00,400.00,405.74,"74,343.00",417.00,"30,163,823.00",364,-17.00,31.00,-4.08,7.77,-1.43,505.93,442.46,823.90,195.00,12_08_2021
SPDL,35.34,400.00,418.20,394.00,418.20,402.33,"57,012.00",400.00,"22,937,498.80",378,18.20,24.20,4.55,6.14,3.80,505.84,443.26,823.90,195.00,12_09_2021
SPDL,39.53,400.00,418.20,394.00,418.20,402.33,"57,012.00",400.00,"22,937,498.80",378,18.20,24.20,4.55,6.14,3.80,505.84,443.26,823.90,195.00,12_10_2021
SPDL,39.53,400.00,418.20,394.00,418.20,402.33,"57,012.00",400.00,"22,937,498.80",378,18.20,24.20,4.55,6.14,3.80,505.84,443.26,823.90,195.00,12_11_2021
SPDL,38.88,410.00,410.00,386.10,388.00,395.45,"75,447.00",418.20,"29,835,653.80",448,-30.20,23.90,-7.22,6.19,-1.92,505.37,443.90,823.90,195.00,12_12_2021
SPDL,28.09,381.00,395.00,360.00,364.10,372.34,"52,353.00",388.00,"19,493,307.40",380,-23.90,35.00,-6.16,9.72,-2.26,504.44,444.44,823.90,195.00,12_13_2021
SPDL,31.64,371.00,400.50,365.00,400.50,386.84,"32,679.00",364.10,"12,641,393.30",233,36.40,35.50,10.00,9.73,3.41,503.63,445.21,823.90,195.00,12_14_2021
SPDL,44.86,408.50,432.00,392.10,400.00,411.25,"72,242.00",400.50,"29,709,824.80",510,-0.50,39.90,-0.12,10.18,-2.81,502.97,445.97,823.90,195.00,12_15_2021
SPDL,42.83,407.00,408.00,378.00,380.00,390.88,"37,132.00",400.00,"14,514,029.20",260,-20.00,30.00,-5.00,7.94,-2.86,502.34,446.58,823.90,195.00,12_16_2021
SPDL,42.19,407.00,408.00,378.00,380.00,390.88,"37,132.00",400.00,"14,514,029.20",260,-20.00,30.00,-5.00,7.94,-2.86,502.34,446.58,823.90,195.00,12_17_2021
SPDL,42.19,407.00,408.00,378.00,380.00,390.88,"37,132.00",400.00,"14,514,029.20",260,-20.00,30.00,-5.00,7.94,-2.86,502.34,446.58,823.90,195.00,12_18_2021
SPDL,42.19,407.00,408.00,378.00,380.00,390.88,"37,132.00",400.00,"14,514,029.20",260,-20.00,30.00,-5.00,7.94,-2.86,502.34,446.58,823.90,195.00,12_19_2021
SPDL,39.50,387.60,387.60,372.50,375.90,378.81,"35,199.00",380.00,"13,333,636.00",213,-4.10,15.10,-1.08,4.05,-0.77,501.64,447.19,823.90,195.00,12_20_2021
SPDL,43.34,380.00,400.00,380.00,399.00,389.00,"45,361.00",375.90,"17,645,336.10",259,23.10,20.00,6.15,5.26,2.51,501.13,447.94,823.90,195.00,12_21_2021
SPDL,46.13,405.00,430.00,400.00,429.00,418.91,"63,735.00",399.00,"26,698,970.60",388,30.00,30.00,7.52,7.50,2.35,501.12,448.85,823.90,195.00,12_22_2021
SPDL,52.46,435.00,442.00,418.00,418.10,425.90,"51,662.00",429.00,"22,002,818.70",378,-10.90,24.00,-2.54,5.74,-1.87,501.29,449.65,823.90,195.00,12_23_2021
SPDL,53.18,435.00,442.00,418.00,418.10,425.90,"51,662.00",429.00,"22,002,818.70",378,-10.90,24.00,-2.54,5.74,-1.87,501.29,449.65,823.90,195.00,12_24_2021
SPDL,53.18,435.00,442.00,418.00,418.10,425.90,"51,662.00",429.00,"22,002,818.70",378,-10.90,24.00,-2.54,5.74,-1.87,501.29,449.65,823.90,195.00,12_25_2021
SPDL,51.56,418.20,425.90,414.00,415.00,419.05,"50,995.00",418.10,"21,369,521.60",267,-3.10,11.90,-0.74,2.87,-0.98,501.11,450.43,823.90,195.00,12_26_2021
SPDL,51.98,421.90,422.00,392.00,398.00,406.92,"53,295.00",415.00,"21,686,728.50",293,-17.00,30.00,-4.10,7.65,-2.24,500.92,451.16,823.90,195.00,12_27_2021
SPDL,48.40,390.10,407.90,385.00,397.00,393.18,"37,367.00",398.00,"14,691,896.70",193,-1.00,22.90,-0.25,5.95,0.96,500.77,451.87,823.90,195.00,12_28_2021
SPDL,36.51,403.00,403.00,390.00,396.00,393.93,"19,705.00",397.00,"7,762,317.60",142,-1.00,13.00,-0.25,3.33,0.52,500.64,452.56,823.90,195.00,12_29_2021
SPDL,39.45,403.00,403.00,390.00,396.00,393.93,"19,705.00",397.00,"7,762,317.60",142,-1.00,13.00,-0.25,3.33,0.52,500.64,452.56,823.90,195.00,12_30_2021
SPDL,39.45,403.00,403.00,390.00,396.00,393.93,"19,705.00",397.00,"7,762,317.60",142,-1.00,13.00,-0.25,3.33,0.52,500.64,452.56,823.90,195.00,12_31_2021
SPDL,39.45,403.00,403.00,390.00,396.00,393.93,"19,705.00",397.00,"7,762,317.60",142,-1.00,13.00,-0.25,3.33,0.52,500.64,452.56,823.90,195.00,01_01_2022
SPDL,40.99,397.00,402.50,390.00,401.00,398.96,"22,742.00",396.00,"9,073,243.00",153,5.00,12.50,1.26,3.21,0.51,500.57,453.29,823.90,207.00,01_02_2022
SPDL,44.55,401.00,408.90,395.00,401.90,401.32,"32,334.00",401.00,"12,976,280.00",205,0.90,13.90,0.22,3.52,0.14,500.63,454.00,823.90,207.00,01_03_2022
SPDL,53.32,408.90,411.00,395.00,408.80,405.83,"34,763.00",401.90,"14,107,974.90",199,6.90,16.00,1.72,4.05,0.73,500.72,454.71,823.90,207.00,01_04_2022
SPDL,55.26,410.10,430.00,407.10,418.60,420.00,"88,887.00",408.80,"37,332,638.80",394,9.80,22.90,2.40,5.63,-0.33,500.84,455.51,823.90,211.00,01_05_2022
SPDL,58.29,410.40,440.00,410.40,438.00,427.72,"88,984.00",418.60,"38,059,864.30",406,19.40,29.60,4.63,7.21,2.35,501.10,456.35,823.90,213.00,01_06_2022
SPDL,60.51,410.40,440.00,410.40,438.00,427.72,"88,984.00",418.60,"38,059,864.30",406,19.40,29.60,4.63,7.21,2.35,501.10,456.35,823.90,213.00,01_07_2022
SPDL,60.51,410.40,440.00,410.40,438.00,427.72,"88,984.00",418.60,"38,059,864.30",406,19.40,29.60,4.63,7.21,2.35,501.10,456.35,823.90,213.00,01_08_2022
SPDL,60.98,446.70,471.00,446.00,465.90,459.38,"126,171.00",438.00,"57,960,035.50",670,27.90,25.00,6.37,5.61,1.40,501.66,457.39,823.90,213.00,01_09_2022
SPDL,63.88,475.20,483.00,455.00,464.00,467.69,"114,789.00",465.90,"53,685,215.40",548,-1.90,28.00,-0.41,6.15,-0.79,502.23,458.45,823.90,213.00,01_10_2022
SPDL,65.73,466.10,486.00,461.00,477.00,472.63,"71,521.00",464.00,"33,802,998.50",372,13.00,25.00,2.80,5.42,0.92,502.88,459.59,823.90,214.00,01_11_2022
SPDL,62.19,485.00,495.00,461.10,469.00,480.92,"158,461.00",477.00,"76,206,974.90",655,-8.00,33.90,-1.68,7.35,-2.54,503.44,460.67,823.90,214.00,01_12_2022
SPDL,58.85,460.10,493.00,460.10,488.00,481.94,"104,544.00",469.00,"50,383,460.60",546,19.00,32.90,4.05,7.15,1.24,503.99,461.86,823.90,216.00,01_13_2022
SPDL,57.28,460.10,493.00,460.10,488.00,481.94,"104,544.00",469.00,"50,383,460.60",546,19.00,32.90,4.05,7.15,1.24,503.99,461.86,823.90,216.00,01_14_2022
SPDL,57.28,460.10,493.00,460.10,488.00,481.94,"104,544.00",469.00,"50,383,460.60",546,19.00,32.90,4.05,7.15,1.24,503.99,461.86,823.90,216.00,01_15_2022
SPDL,58.48,497.00,512.00,491.00,499.90,501.51,"155,149.00",488.00,"77,809,044.60",715,11.90,21.00,2.44,4.28,-0.32,504.76,463.11,823.90,216.00,01_16_2022
SPDL,62.61,505.00,525.00,487.00,517.00,505.38,"171,643.00",499.90,"86,744,835.90",721,17.10,38.00,3.42,7.80,2.25,505.63,464.47,823.90,216.00,01_17_2022
SPDL,62.95,524.00,530.00,499.00,502.00,518.45,"179,475.00",517.00,"93,049,334.10",804,-15.00,31.00,-2.90,6.21,-3.28,506.19,465.70,823.90,216.00,01_18_2022
SPDL,61.94,510.00,512.00,490.00,494.00,497.33,"97,323.00",502.00,"48,401,495.80",577,-8.00,22.00,-1.59,4.49,-0.67,506.57,466.89,823.90,216.00,01_19_2022
SPDL,55.07,488.10,514.00,488.10,514.00,505.34,"102,960.00",494.00,"52,029,365.90",526,20.00,25.90,4.05,5.31,1.69,506.95,468.15,823.90,216.00,01_20_2022
SPDL,57.94,488.10,514.00,488.10,514.00,505.34,"102,960.00",494.00,"52,029,365.90",526,20.00,25.90,4.05,5.31,1.69,506.95,468.15,823.90,216.00,01_21_2022
SPDL,57.94,488.10,514.00,488.10,514.00,505.34,"102,960.00",494.00,"52,029,365.90",526,20.00,25.90,4.05,5.31,1.69,506.95,468.15,823.90,216.00,01_22_2022
SPDL,59.76,522.00,524.00,495.00,498.00,506.10,"110,279.00",514.00,"55,812,395.50",460,-16.00,29.00,-3.11,5.86,-1.63,506.81,469.38,823.90,228.00,01_23_2022
SPDL,53.61,498.00,498.00,465.00,465.00,477.15,"147,611.00",498.00,"70,432,641.20",840,-33.00,33.00,-6.63,7.10,-2.61,506.37,470.50,823.90,228.00,01_24_2022
SPDL,52.63,474.20,485.10,457.70,470.00,474.10,"90,104.00",465.00,"42,718,702.50",563,5.00,27.40,1.08,5.99,-0.87,505.95,471.60,823.90,228.00,01_25_2022
SPDL,47.45,465.00,478.00,450.00,458.10,461.54,"82,329.00",470.00,"37,998,376.80",456,-11.90,28.00,-2.53,6.22,-0.75,505.24,472.65,823.90,230.00,01_26_2022
SPDL,44.91,449.00,469.00,449.00,459.00,462.57,"46,075.00",458.10,"21,312,815.30",269,0.90,20.00,0.20,4.45,-0.78,504.57,473.64,823.90,231.00,01_27_2022
SPDL,41.92,449.00,469.00,449.00,459.00,462.57,"46,075.00",458.10,"21,312,815.30",269,0.90,20.00,0.20,4.45,-0.78,504.57,473.64,823.90,231.00,01_28_2022
SPDL,41.92,449.00,469.00,449.00,459.00,462.57,"46,075.00",458.10,"21,312,815.30",269,0.90,20.00,0.20,4.45,-0.78,504.57,473.64,823.90,231.00,01_29_2022
SPDL,43.12,468.10,495.00,468.10,493.00,488.03,"140,689.00",459.00,"68,660,835.90",573,34.00,26.90,7.41,5.75,1.01,503.76,474.72,823.90,236.00,01_30_2022
SPDL,56.78,500.00,501.90,481.00,485.50,488.59,"72,564.00",493.00,"35,454,138.30",371,-7.50,20.90,-1.52,4.35,-0.64,502.87,475.78,823.90,236.00,01_31_2022
SPDL,53.00,481.00,509.00,480.00,503.10,499.57,"167,330.00",485.50,"83,593,412.40",616,17.60,29.00,3.63,6.04,0.70,502.02,476.81,823.90,236.00,02_01_2022
SPDL,59.18,481.00,509.00,480.00,503.10,499.57,"167,330.00",485.50,"83,593,412.40",616,17.60,29.00,3.63,6.04,0.70,502.02,476.81,823.90,236.00,02_02_2022
SPDL,59.11,513.00,525.30,509.00,520.00,519.12,"330,339.00",503.10,"171,484,344.00","1,301",16.90,16.30,3.36,3.20,0.17,500.81,477.90,823.90,245.00,02_03_2022
SPDL,61.27,513.00,525.30,509.00,520.00,519.12,"330,339.00",503.10,"171,484,344.00","1,301",16.90,16.30,3.36,3.20,0.17,500.81,477.90,823.90,245.00,02_04_2022
SPDL,61.27,513.00,525.30,509.00,520.00,519.12,"330,339.00",503.10,"171,484,344.00","1,301",16.90,16.30,3.36,3.20,0.17,500.81,477.90,823.90,245.00,02_05_2022
SPDL,61.12,520.00,534.00,510.00,529.90,524.68,"290,432.00",520.00,"152,385,077.60","1,302",9.90,24.00,1.90,4.71,0.98,499.76,479.14,823.90,245.00,02_06_2022
SPDL,59.67,530.00,549.00,519.40,528.00,535.30,"193,688.00",529.90,"103,680,245.80",860,-1.90,29.60,-0.36,5.70,-1.38,498.29,480.33,823.90,245.00,02_07_2022
SPDL,60.50,538.50,555.00,511.00,516.00,530.32,"182,095.00",528.00,"96,568,616.80",943,-12.00,44.00,-2.27,8.61,-2.78,496.72,481.39,823.90,245.00,02_08_2022
SPDL,53.94,511.00,515.00,502.00,506.00,507.30,"83,263.00",516.00,"42,238,906.40",471,-10.00,13.00,-1.94,2.59,-0.26,495.19,482.33,823.90,245.00,02_09_2022
SPDL,45.20,510.00,512.00,499.00,500.00,502.96,"48,933.00",506.00,"24,611,553.00",392,-6.00,13.00,-1.19,2.61,-0.59,493.11,483.22,823.90,245.00,02_10_2022
SPDL,40.07,510.00,512.00,499.00,500.00,502.96,"48,933.00",506.00,"24,611,553.00",392,-6.00,13.00,-1.19,2.61,-0.59,493.11,483.22,823.90,245.00,02_11_2022
SPDL,40.07,510.00,512.00,499.00,500.00,502.96,"48,933.00",506.00,"24,611,553.00",392,-6.00,13.00,-1.19,2.61,-0.59,493.11,483.22,823.90,245.00,02_12_2022
SPDL,41.37,471.00,482.90,460.00,468.00,473.06,"68,108.00",468.00,"32,218,970.10",408,0.00,22.90,0.00,4.98,-1.08,488.46,484.62,823.90,245.00,02_14_2022
SPDL,33.16,477.00,506.00,472.00,503.00,487.87,"63,964.00",468.00,"31,206,067.00",372,35.00,34.00,7.48,7.20,3.01,486.42,485.44,823.90,245.00,02_15_2022
SPDL,42.60,510.00,512.00,482.00,488.00,493.32,"74,938.00",503.00,"36,968,683.00",428,-15.00,30.00,-2.98,6.22,-1.09,484.33,485.98,823.90,245.00,02_16_2022
SPDL,31.90,489.00,497.00,479.30,486.00,488.47,"42,175.00",488.00,"20,601,122.30",213,-2.00,17.70,-0.41,3.69,-0.51,482.34,486.54,823.90,245.00,02_17_2022
SPDL,45.18,489.00,497.00,479.30,486.00,488.47,"42,175.00",488.00,"20,601,122.30",213,-2.00,17.70,-0.41,3.69,-0.51,482.34,486.54,823.90,245.00,02_18_2022
SPDL,45.18,489.00,497.00,479.30,486.00,488.47,"42,175.00",488.00,"20,601,122.30",213,-2.00,17.70,-0.41,3.69,-0.51,482.34,486.54,823.90,245.00,02_19_2022
SPDL,44.76,476.30,500.00,466.80,484.00,487.69,"81,206.00",486.00,"39,602,972.00",453,-2.00,33.20,-0.41,7.11,-0.76,480.44,487.13,823.90,245.00,02_20_2022
SPDL,46.14,492.90,499.00,485.50,493.00,492.79,"50,955.00",484.00,"25,109,874.70",263,9.00,13.50,1.86,2.78,0.04,478.51,487.57,823.90,245.00,02_21_2022
SPDL,33.33,500.00,509.00,493.00,498.00,500.88,"71,083.00",493.00,"35,604,046.50",433,5.00,16.00,1.01,3.25,-0.58,476.68,488.08,823.90,245.00,02_22_2022
SPDL,47.03,500.00,508.00,491.00,502.00,501.85,"82,727.00",498.00,"41,516,611.10",412,4.00,17.00,0.80,3.46,0.03,475.05,488.51,823.90,245.00,02_23_2022
SPDL,47.91,496.00,499.00,480.00,481.10,485.78,"62,275.00",502.00,"30,252,100.10",408,-20.90,19.00,-4.16,3.96,-0.97,474.31,488.69,823.90,245.00,02_24_2022
SPDL,35.21,496.00,499.00,480.00,481.10,485.78,"62,275.00",502.00,"30,252,100.10",408,-20.90,19.00,-4.16,3.96,-0.97,474.31,488.69,823.90,245.00,02_25_2022
SPDL,35.21,496.00,499.00,480.00,481.10,485.78,"62,275.00",502.00,"30,252,100.10",408,-20.90,19.00,-4.16,3.96,-0.97,474.31,488.69,823.90,245.00,02_26_2022
SPDL,34.86,483.00,500.00,483.00,487.90,490.96,"44,706.00",481.10,"21,948,935.60",278,6.80,17.00,1.41,3.52,-0.63,473.72,489.01,823.90,245.00,02_27_2022
SPDL,33.03,497.60,505.00,466.00,470.00,479.58,"69,929.00",487.90,"33,536,578.30",443,-17.90,39.00,-3.67,8.37,-2.04,472.52,489.37,823.90,245.00,02_28_2022
SPDL,33.81,497.60,505.00,466.00,470.00,479.58,"69,929.00",487.90,"33,536,578.30",443,-17.90,39.00,-3.67,8.37,-2.04,472.52,489.37,823.90,245.00,03_01_2022
SPDL,33.64,465.00,469.00,450.00,453.00,456.49,"69,001.00",470.00,"31,498,466.80",393,-17.00,19.00,-3.62,4.22,-0.77,471.18,489.62,823.90,245.00,03_02_2022
SPDL,28.88,465.00,469.00,450.00,453.00,456.49,"69,001.00",470.00,"31,498,466.80",393,-17.00,19.00,-3.62,4.22,-0.77,471.18,489.62,823.90,245.00,03_03_2022
SPDL,28.88,465.00,469.00,450.00,453.00,456.49,"69,001.00",470.00,"31,498,466.80",393,-17.00,19.00,-3.62,4.22,-0.77,471.18,489.62,823.90,245.00,03_04_2022
SPDL,28.88,465.00,469.00,450.00,453.00,456.49,"69,001.00",470.00,"31,498,466.80",393,-17.00,19.00,-3.62,4.22,-0.77,471.18,489.62,823.90,245.00,03_05_2022
SPDL,26.26,462.00,469.00,445.00,449.00,453.04,"32,409.00",453.00,"14,682,552.20",258,-4.00,24.00,-0.88,5.39,-0.90,470.04,489.73,823.90,256.00,03_06_2022
SPDL,31.28,445.00,456.00,438.00,441.00,446.61,"32,386.00",449.00,"14,464,059.80",225,-8.00,18.00,-1.78,4.11,-1.27,468.92,489.88,823.90,256.00,03_07_2022
SPDL,29.44,445.00,456.00,438.00,441.00,446.61,"32,386.00",449.00,"14,464,059.80",225,-8.00,18.00,-1.78,4.11,-1.27,468.92,489.88,823.90,256.00,03_08_2022
SPDL,28.99,448.00,448.00,418.00,425.00,424.68,"34,515.00",441.00,"14,657,658.40",272,-16.00,30.00,-3.63,7.18,0.08,467.88,489.99,823.90,256.00,03_09_2022
SPDL,31.75,432.00,453.00,418.00,450.00,437.22,"96,183.00",425.00,"42,052,790.90",335,25.00,35.00,5.88,8.37,2.84,467.44,490.15,823.90,256.00,03_10_2022
SPDL,40.38,432.00,453.00,418.00,450.00,437.22,"96,183.00",425.00,"42,052,790.90",335,25.00,35.00,5.88,8.37,2.84,467.44,490.15,823.90,256.00,03_11_2022
SPDL,40.38,432.00,453.00,418.00,450.00,437.22,"96,183.00",425.00,"42,052,790.90",335,25.00,35.00,5.88,8.37,2.84,467.44,490.15,823.90,256.00,03_12_2022
SPDL,42.33,459.00,467.00,450.00,462.00,462.46,"62,305.00",450.00,"28,813,720.00",338,12.00,17.00,2.67,3.78,-0.10,466.68,490.34,823.90,256.00,03_13_2022
SPDL,51.08,465.00,466.00,450.00,454.00,456.32,"18,706.00",462.00,"8,535,939.10",103,-8.00,16.00,-1.73,3.56,-0.51,465.85,490.39,823.90,256.00,03_14_2022
SPDL,48.87,462.70,462.70,444.00,456.00,448.39,"61,077.00",454.00,"27,386,152.20",312,2.00,18.70,0.44,4.21,1.67,465.14,490.28,823.90,256.00,03_15_2022
SPDL,51.32,447.60,453.00,444.00,444.00,446.81,"24,483.00",456.00,"10,939,156.70",159,-12.00,9.00,-2.63,2.03,-0.63,464.16,489.99,823.90,257.00,03_16_2022
SPDL,38.93,447.60,453.00,444.00,444.00,446.81,"24,483.00",456.00,"10,939,156.70",159,-12.00,9.00,-2.63,2.03,-0.63,464.16,489.99,823.90,257.00,03_17_2022
SPDL,38.93,447.60,453.00,444.00,444.00,446.81,"24,483.00",456.00,"10,939,156.70",159,-12.00,9.00,-2.63,2.03,-0.63,464.16,489.99,823.90,257.00,03_18_2022
SPDL,38.93,447.60,453.00,444.00,444.00,446.81,"24,483.00",456.00,"10,939,156.70",159,-12.00,9.00,-2.63,2.03,-0.63,464.16,489.99,823.90,257.00,03_19_2022
SPDL,41.20,444.00,459.00,444.00,449.50,449.89,"38,622.00",444.00,"17,375,544.50",194,5.50,15.00,1.24,3.38,-0.09,462.77,489.82,823.90,258.00,03_20_2022
SPDL,36.29,457.00,468.00,443.00,467.70,458.40,"56,603.00",449.50,"25,946,579.70",252,18.20,25.00,4.05,5.64,1.99,461.63,489.89,823.90,258.00,03_21_2022
SPDL,57.17,460.10,474.00,458.40,461.00,464.92,"34,871.00",467.70,"16,212,312.50",217,-6.70,15.60,-1.43,3.40,-0.85,460.52,489.89,823.90,258.00,03_22_2022
SPDL,52.01,457.00,461.00,452.00,454.00,456.76,"12,938.00",461.00,"5,909,587.10",98,-7.00,9.00,-1.52,1.99,-0.61,459.51,489.86,823.90,258.00,03_23_2022
SPDL,49.38,463.00,463.00,436.10,436.10,443.58,"37,591.00",454.00,"16,674,494.40",257,-17.90,26.90,-3.94,6.17,-1.71,458.66,489.89,823.90,258.00,03_24_2022
SPDL,49.38,463.00,463.00,436.10,436.10,443.58,"37,591.00",454.00,"16,674,494.40",257,-17.90,26.90,-3.94,6.17,-1.71,458.66,489.89,823.90,258.00,03_24_2022
SPDL,42.05,463.00,463.00,436.10,436.10,443.58,"37,591.00",454.00,"16,674,494.40",257,-17.90,26.90,-3.94,6.17,-1.71,458.66,489.89,823.90,258.00,03_25_2022
SPDL,42.05,463.00,463.00,436.10,436.10,443.58,"37,591.00",454.00,"16,674,494.40",257,-17.90,26.90,-3.94,6.17,-1.71,458.66,489.89,823.90,258.00,03_26_2022
